Invoice ID,Branch,City,Customer type,Gender,Product Line,Unit Price,Quantity Sold,Sales Before Tax,Tax 5%,Total Sales,Date,Time,Payment Method,Rating,Year,Month Name,Day Name
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,33.52,1.68,35.2,2019-02-08,3:31:00 PM,Cash,6.7,2019,February,Friday
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,175.34,8.77,184.11,2019-03-10,12:17:00 PM,Credit card,7.7,2019,March,Sunday
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,441.8,22.09,463.89,2019-01-25,7:48:00 PM,Cash,9.6,2019,January,Friday
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,224.01,11.2,235.21,2019-03-15,3:36:00 PM,Cash,7.4,2019,March,Friday
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,470.65,23.53,494.18,2019-02-25,7:39:00 PM,Credit card,4.8,2019,February,Monday
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,702.63,35.13,737.76,2019-01-28,12:43:00 PM,Cash,4.5,2019,January,Monday
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,670.24,33.51,703.75,2019-01-10,2:49:00 PM,Cash,5.1,2019,January,Thursday
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,193.16,9.66,202.82,2019-03-15,10:12:00 AM,Credit card,5.1,2019,March,Friday
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,397.68,19.88,417.56,2019-02-06,10:42:00 AM,Ewallet,7.5,2019,February,Wednesday
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,68.12,3.41,71.53,2019-01-07,12:28:00 PM,Ewallet,6.8,2019,January,Monday
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,313.1,15.66,328.76,2019-03-10,7:15:00 PM,Ewallet,7.0,2019,March,Sunday
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,547.92,27.4,575.32,2019-01-15,5:17:00 PM,Ewallet,4.7,2019,January,Tuesday
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,439.36,21.97,461.33,2019-03-23,1:24:00 PM,Ewallet,7.6,2019,March,Saturday
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,240.96,12.05,253.01,2019-03-03,1:01:00 PM,Cash,7.7,2019,March,Sunday
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,86.72,4.34,91.06,2019-01-17,6:45:00 PM,Ewallet,7.9,2019,January,Thursday
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,112.22,5.61,117.83,2019-02-02,10:11:00 AM,Cash,6.3,2019,February,Saturday
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,414.72,20.74,435.46,2019-02-08,1:03:00 PM,Cash,5.6,2019,February,Friday
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,789.6,39.48,829.08,2019-03-04,8:39:00 PM,Cash,7.6,2019,March,Monday
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,30.74,1.54,32.28,2019-03-16,7:47:00 PM,Cash,7.2,2019,March,Saturday
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,375.84,18.79,394.63,2019-03-09,6:00:00 PM,Cash,9.5,2019,March,Saturday
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,510.21,25.51,535.72,2019-02-27,5:24:00 PM,Credit card,8.4,2019,February,Wednesday
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,180.09,9.0,189.09,2019-02-06,3:47:00 PM,Ewallet,4.1,2019,February,Wednesday
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,113.58,5.68,119.26,2019-02-10,12:45:00 PM,Credit card,8.1,2019,February,Sunday
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,826.3,41.32,867.62,2019-03-19,5:08:00 PM,Ewallet,7.9,2019,March,Tuesday
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,639.8,31.99,671.79,2019-02-03,10:19:00 AM,Cash,9.5,2019,February,Sunday
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,222.95,11.15,234.1,2019-02-10,3:10:00 PM,Cash,8.5,2019,February,Sunday
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,71.48,3.57,75.05,2019-03-22,2:42:00 PM,Ewallet,6.5,2019,March,Friday
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,15.43,0.77,16.2,2019-01-25,3:46:00 PM,Credit card,6.1,2019,January,Friday
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,32.32,1.62,33.94,2019-03-07,11:49:00 AM,Ewallet,6.5,2019,March,Thursday
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,687.84,34.39,722.23,2019-02-28,7:01:00 PM,Cash,8.2,2019,February,Thursday
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,88.68,4.43,93.11,2019-03-27,11:26:00 AM,Cash,5.8,2019,March,Wednesday
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,716.8,35.84,752.64,2019-02-07,11:28:00 AM,Ewallet,6.6,2019,February,Thursday
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,723.5,36.18,759.68,2019-01-20,3:55:00 PM,Cash,5.4,2019,January,Sunday
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,183.66,9.18,192.84,2019-03-12,8:36:00 PM,Cash,9.3,2019,March,Tuesday
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,74.22,3.71,77.93,2019-02-15,5:47:00 PM,Credit card,10.0,2019,February,Friday
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,334.38,16.72,351.1,2019-02-24,10:55:00 AM,Ewallet,7.0,2019,February,Sunday
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,495.63,24.78,520.41,2019-02-03,1:40:00 PM,Ewallet,10.0,2019,February,Sunday
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,158.1,7.91,166.01,2019-03-06,12:27:00 PM,Credit card,8.6,2019,March,Wednesday
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,302.96,15.15,318.11,2019-02-14,2:35:00 PM,Cash,7.6,2019,February,Thursday
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,158.7,7.94,166.64,2019-03-13,4:40:00 PM,Cash,5.8,2019,March,Wednesday
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,66.94,3.35,70.29,2019-02-10,3:43:00 PM,Ewallet,6.7,2019,February,Sunday
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,585.66,29.28,614.94,2019-01-07,3:01:00 PM,Ewallet,9.9,2019,January,Monday
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,787.7,39.39,827.09,2019-01-24,10:04:00 AM,Cash,6.4,2019,January,Thursday
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,18.33,0.92,19.25,2019-02-02,6:50:00 PM,Cash,4.3,2019,February,Saturday
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,894.8,44.74,939.54,2019-01-06,12:46:00 PM,Credit card,9.6,2019,January,Sunday
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,621.2,31.06,652.26,2019-02-11,4:19:00 PM,Cash,5.9,2019,February,Monday
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,145.56,7.28,152.84,2019-03-05,6:17:00 PM,Ewallet,4.0,2019,March,Tuesday
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,455.46,22.77,478.23,2019-03-09,6:21:00 PM,Cash,8.7,2019,March,Saturday
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,672.03,33.6,705.63,2019-01-22,10:55:00 AM,Ewallet,9.4,2019,January,Tuesday
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,416.5,20.83,437.33,2019-01-13,5:04:00 PM,Credit card,5.4,2019,January,Sunday
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,441.36,22.07,463.43,2019-01-09,2:20:00 PM,Credit card,8.6,2019,January,Wednesday
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,180.09,9.0,189.09,2019-01-12,3:48:00 PM,Credit card,5.7,2019,January,Saturday
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,783.1,39.16,822.26,2019-03-05,4:24:00 PM,Ewallet,6.6,2019,March,Tuesday
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,101.9,5.1,107.0,2019-01-22,6:56:00 PM,Cash,6.0,2019,January,Tuesday
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,595.14,29.76,624.9,2019-01-21,2:42:00 PM,Credit card,5.5,2019,January,Monday
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,290.04,14.5,304.54,2019-01-26,7:56:00 PM,Ewallet,6.4,2019,January,Saturday
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,154.0,7.7,161.7,2019-01-23,6:37:00 PM,Ewallet,6.6,2019,January,Wednesday
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,321.44,16.07,337.51,2019-02-23,6:45:00 PM,Credit card,8.3,2019,February,Saturday
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,244.55,12.23,256.78,2019-03-09,10:17:00 AM,Cash,6.6,2019,March,Saturday
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,581.42,29.07,610.49,2019-03-05,2:31:00 PM,Ewallet,4.0,2019,March,Tuesday
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,382.6,19.13,401.73,2019-03-25,10:23:00 AM,Cash,9.9,2019,March,Monday
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,345.66,17.28,362.94,2019-03-27,8:35:00 PM,Credit card,7.3,2019,March,Wednesday
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,42.47,2.12,44.59,2019-01-02,4:57:00 PM,Cash,5.7,2019,January,Wednesday
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,461.94,23.1,485.04,2019-02-27,5:55:00 PM,Cash,6.1,2019,February,Wednesday
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,189.52,9.48,199.0,2019-01-23,10:25:00 AM,Cash,7.1,2019,January,Wednesday
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,448.6,22.43,471.03,2019-01-26,7:54:00 PM,Ewallet,8.2,2019,January,Saturday
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,153.86,7.69,161.55,2019-01-10,4:42:00 PM,Ewallet,5.1,2019,January,Thursday
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,579.24,28.96,608.2,2019-03-12,12:09:00 PM,Credit card,8.6,2019,March,Tuesday
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,89.75,4.49,94.24,2019-02-06,8:05:00 PM,Credit card,6.6,2019,February,Wednesday
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,97.16,4.86,102.02,2019-03-08,8:38:00 PM,Ewallet,7.2,2019,March,Friday
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,878.7,43.94,922.64,2019-03-29,10:25:00 AM,Ewallet,5.1,2019,March,Friday
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,74.7,3.74,78.44,2019-02-09,1:11:00 PM,Cash,4.1,2019,February,Saturday
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,158.25,7.91,166.16,2019-03-23,10:16:00 AM,Ewallet,9.3,2019,March,Saturday
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,496.2,24.81,521.01,2019-03-05,6:14:00 PM,Cash,7.4,2019,March,Tuesday
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,48.71,2.44,51.15,2019-03-26,7:20:00 PM,Cash,4.1,2019,March,Tuesday
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,706.95,35.35,742.3,2019-03-01,1:22:00 PM,Cash,7.2,2019,March,Friday
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,207.63,10.38,218.01,2019-02-01,11:27:00 AM,Cash,4.9,2019,February,Friday
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,349.56,17.48,367.04,2019-03-28,4:44:00 PM,Cash,9.9,2019,March,Thursday
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,212.45,10.62,223.07,2019-03-19,6:19:00 PM,Cash,8.0,2019,March,Tuesday
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,886.7,44.34,931.04,2019-01-12,2:50:00 PM,Ewallet,7.3,2019,January,Saturday
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,164.28,8.21,172.49,2019-01-05,8:54:00 PM,Credit card,7.9,2019,January,Saturday
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,372.78,18.64,391.42,2019-03-22,8:19:00 PM,Cash,7.4,2019,March,Friday
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,305.82,15.29,321.11,2019-03-24,10:43:00 AM,Cash,4.2,2019,March,Sunday
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,819.7,40.99,860.69,2019-03-03,2:30:00 PM,Cash,9.2,2019,March,Sunday
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,32.98,1.65,34.63,2019-02-05,11:32:00 AM,Ewallet,4.6,2019,February,Tuesday
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,294.63,14.73,309.36,2019-02-05,10:41:00 AM,Credit card,7.8,2019,February,Tuesday
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,509.88,25.49,535.37,2019-02-15,12:44:00 PM,Cash,8.4,2019,February,Friday
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,522.63,26.13,548.76,2019-01-19,8:07:00 PM,Ewallet,4.3,2019,January,Saturday
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,727.11,36.36,763.47,2019-02-01,8:31:00 PM,Credit card,9.5,2019,February,Friday
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,81.06,4.05,85.11,2019-03-02,1:01:00 PM,Credit card,7.1,2019,March,Saturday
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,109.7,5.49,115.19,2019-03-05,12:29:00 PM,Ewallet,5.3,2019,March,Tuesday
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,51.36,2.57,53.93,2019-01-16,3:26:00 PM,Ewallet,5.2,2019,January,Wednesday
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,109.6,5.48,115.08,2019-02-02,8:48:00 PM,Ewallet,6.0,2019,February,Saturday
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,106.88,5.34,112.22,2019-01-20,8:38:00 PM,Ewallet,4.1,2019,January,Sunday
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,796.48,39.82,836.3,2019-02-14,5:03:00 PM,Credit card,5.2,2019,February,Thursday
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,399.84,19.99,419.83,2019-01-12,12:02:00 PM,Credit card,6.5,2019,January,Saturday
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,899.64,44.98,944.62,2019-03-09,5:26:00 PM,Credit card,4.2,2019,March,Saturday
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,511.28,25.56,536.84,2019-03-13,7:52:00 PM,Credit card,4.6,2019,March,Wednesday
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,451.76,22.59,474.35,2019-03-09,2:57:00 PM,Ewallet,7.3,2019,March,Saturday
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,655.83,32.79,688.62,2019-03-10,6:44:00 PM,Credit card,4.5,2019,March,Sunday
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,161.25,8.06,169.31,2019-01-27,1:26:00 PM,Cash,9.0,2019,January,Sunday
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,285.57,14.28,299.85,2019-01-08,4:17:00 PM,Credit card,5.9,2019,January,Tuesday
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,548.32,27.42,575.74,2019-01-08,3:57:00 PM,Ewallet,8.5,2019,January,Tuesday
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,812.52,40.63,853.15,2019-02-08,11:15:00 AM,Ewallet,7.2,2019,February,Friday
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,277.34,13.87,291.21,2019-01-25,1:18:00 PM,Cash,7.5,2019,January,Friday
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,552.78,27.64,580.42,2019-03-06,8:34:00 PM,Cash,8.3,2019,March,Wednesday
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,139.36,6.97,146.33,2019-02-10,6:36:00 PM,Cash,7.4,2019,February,Sunday
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,524.7,26.24,550.94,2019-02-17,2:40:00 PM,Credit card,8.8,2019,February,Sunday
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,487.8,24.39,512.19,2019-03-08,4:43:00 PM,Ewallet,5.3,2019,March,Friday
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,270.66,13.53,284.19,2019-02-18,7:39:00 PM,Cash,6.2,2019,February,Monday
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,131.55,6.58,138.13,2019-01-18,8:59:00 PM,Credit card,8.8,2019,January,Friday
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,206.52,10.33,216.85,2019-02-18,3:39:00 PM,Cash,9.8,2019,February,Monday
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,519.1,25.96,545.06,2019-02-16,12:21:00 PM,Cash,8.2,2019,February,Saturday
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,580.0,29.0,609.0,2019-03-16,7:25:00 PM,Ewallet,9.2,2019,March,Saturday
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,898.0,44.9,942.9,2019-01-23,1:00:00 PM,Credit card,5.4,2019,January,Wednesday
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,905.0,45.25,950.25,2019-01-25,1:48:00 PM,Cash,8.1,2019,January,Friday
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,686.0,34.3,720.3,2019-02-05,7:57:00 PM,Cash,9.1,2019,February,Tuesday
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,30.41,1.52,31.93,2019-02-22,10:36:00 AM,Credit card,8.4,2019,February,Friday
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,467.7,23.39,491.09,2019-01-21,4:37:00 PM,Ewallet,8.0,2019,January,Monday
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,277.56,13.88,291.44,2019-03-08,5:11:00 PM,Credit card,9.5,2019,March,Friday
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,301.4,15.07,316.47,2019-02-10,12:28:00 PM,Ewallet,9.2,2019,February,Sunday
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,264.56,13.23,277.79,2019-03-19,12:46:00 PM,Credit card,5.6,2019,March,Tuesday
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,574.88,28.74,603.62,2019-03-06,3:07:00 PM,Credit card,6.2,2019,March,Wednesday
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,259.68,12.98,272.66,2019-03-27,1:48:00 PM,Credit card,4.9,2019,March,Wednesday
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,366.16,18.31,384.47,2019-03-23,7:20:00 PM,Credit card,4.8,2019,March,Saturday
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,241.92,12.1,254.02,2019-03-11,4:07:00 PM,Credit card,7.3,2019,March,Monday
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,749.16,37.46,786.62,2019-01-29,11:56:00 AM,Credit card,7.4,2019,January,Tuesday
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,98.88,4.94,103.82,2019-02-07,6:23:00 PM,Ewallet,9.9,2019,February,Thursday
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,647.76,32.39,680.15,2019-01-28,1:05:00 PM,Cash,9.3,2019,January,Monday
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,461.45,23.07,484.52,2019-02-20,3:55:00 PM,Credit card,9.0,2019,February,Wednesday
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,72.17,3.61,75.78,2019-01-04,7:40:00 PM,Cash,6.1,2019,January,Friday
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,251.4,12.57,263.97,2019-03-07,1:58:00 PM,Ewallet,9.7,2019,March,Thursday
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,874.98,43.75,918.73,2019-03-30,2:43:00 PM,Ewallet,6.0,2019,March,Saturday
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,560.34,28.02,588.36,2019-03-27,7:18:00 PM,Ewallet,10.0,2019,March,Wednesday
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,345.44,17.27,362.71,2019-01-19,7:39:00 PM,Credit card,8.3,2019,January,Saturday
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,63.69,3.18,66.87,2019-02-25,4:21:00 PM,Cash,6.0,2019,February,Monday
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,320.53,16.03,336.56,2019-03-13,7:44:00 PM,Credit card,7.0,2019,March,Wednesday
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,152.8,7.64,160.44,2019-01-30,7:42:00 PM,Ewallet,6.5,2019,January,Wednesday
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,399.0,19.95,418.95,2019-02-20,3:24:00 PM,Credit card,5.9,2019,February,Wednesday
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,340.56,17.03,357.59,2019-02-25,2:12:00 PM,Ewallet,5.6,2019,February,Monday
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,955.8,47.79,1003.59,2019-01-16,1:32:00 PM,Cash,4.8,2019,January,Wednesday
